ID,CLIENT,CLIENT_NAME,DESCRIPTION,SHARED_ENVIRONMENT,WH_SITE,EDIT_WHO,EDIT_DATE
28,WLS,Wireless Limit Switch,"WLS Wireless Limit Switch is a heavy duty switch from the Limitless™ Series product line, offering greater durability when used in rough applications.",,,rcunningham,"2018-05-27 01:00:06"
29,WWI,Weight Watchers,Weight Watchers International is an American company that offers various products and services to assist weight loss and maintenance.,WWI,PTW,rcunningham,"2018-05-27 01:00:06"
30,USMC,USMC,"The United States Marine Corps, also known as the United States Marines, is a branch of the United States Armed Forces responsible for conducting amphibious operations with the United States Navy.",,,rcunningham,"2018-05-27 01:00:06"
31,SA,Sealed Air,"Sealed Air Corporation is a packaging company known for its brands: Cryovac food packaging, Bubble Wrap cushioning, and Diversey cleaning and hygiene.",,SWI,rcunningham,"2018-05-27 01:00:06"
32,BMA,Boeing Military Aircraft,"BMA employs more than 20,000 people at 11 major domestic locations and offices around the world. It is one of the world’s largest providers of military airpower, serving the United States and more than 50 allied nations and continuing to expand globally with steady growth in international sales.",IDS,,rcunningham,"2018-05-27 01:00:06"
33,NUS,Nu Skin,A premier anti-aging company committed to providing quality skin care and nutrition products. Its unique ageLOC science addresses aging at its source.,NUS,BST,rcunningham,"2018-05-27 01:00:06"
34,DOW,DOW Chemical,"The Dow Chemical Company is a leader in specialty chemicals delivering products and solutions to markets such as electronics, water, packaging, energy, and coatings.",,PLD,rcunningham,"2018-05-27 01:00:06"
35,DPB,Dapple Baby,"Dapple is a pioneer in natural cleaners and healthy home products, specifically designed for households with babies.",,EPA,rcunningham,"2018-05-27 01:00:06"
36,JLG,JLG Industries,"JLG is a leading manufacturer of lift equipment for uses in various industries. Learn more about our aerial lifts, boom lifts, scissor lifts, telehandlers and other lift equipment.",JLG,"AGJ, LNV",rcunningham,"2018-05-27 01:00:06"
37,ALB,Albemarle,Albemarle is a leading specialty chemical company providing innovative chemistry solutions to customers in over 100 countries around the world.,,RTA,rcunningham,"2018-05-27 01:00:06"
38,MTOR,Meritor,"Meritor, Inc. is an American corporation headquartered in Troy, Michigan, which manufactures automobile components for military suppliers, trucks, and trailers. Meritor is a Fortune 500 company.",,"MON, SC1",rcunningham,"2018-05-27 01:00:06"
39,LSNA,LINDT & SPRÜNGLI (Ghirardelli),"A Swiss chocolatier and confectionery company founded in 1845 and known for its chocolate truffles and chocolate bars, among other sweets.",,TCA,rcunningham,"2018-05-27 01:00:06"
40,NUS,BrassCraft, BrassCraft Manufacturing produces high quality products plumbers depend on to make their business a success.,NUS,MGB,rcunningham,"2018-05-27 01:00:06"
41,SDL,Walker Edison,"Walker Edison Furniture is the leader in stylish, quality RTA (Ready-To-Assemble) furniture.",SDL,PO2,rcunningham,"2018-05-27 01:00:06"
42,SDL,"Lulu's Fashion Lounge,LLC","Lulus.com is the style destination for trendsetters worldwide! Fans covet the popular Lulus label, emerging designer mix, and favorite go-to brands!",SDL,,rcunningham,"2018-05-27 01:00:06"
43,DJO,DJO Globol,"DJO Global, Inc. is a medical device company that produces a variety of orthopedic products for rehabilitation, pain management and physical therapy. ",,FTD,rcunningham,"2018-05-27 01:00:06"
44,BSI,Boeing Stores Inc.,"The Boeing Store is the official source for authentic Boeing merchandise and aviation and aircraft collectibles, apparel, travel gear, models, furniture, toys.",IDL,EWS,rcunningham,"2018-05-27 01:00:06"
45,CST,Comcast,Comcast Corporation is an American global telecommunications conglomerate that is the largest broadcasting and cable television company in the world by revenue.,"Comcast MMO, Comcast SIK, Comcast Modesto ","SUT, LTC, CNJ",rcunningham,"2018-05-27 01:00:06"
46,EWC,European Wax Center,"European Wax Center is a major chain of hair removal salons in the United States, founded and based in Aventura, Florida in 2004 and run through franchising. ",WWI,"FPA, RNE",rcunningham,"2018-05-27 01:00:06"
47,TB,Ted Baker ,"British chain first known for men's shirts, now with designer apparel for men & women.",WWI,MTB,rcunningham,"2018-05-27 01:00:06"
48,E,Ergotron ,"Ergotron's product portfolio includes wall and desk vesa mounts, office and tech furniture, sit-stand desks and workstations, charging stations and mobile computer carts.",JLG,,rcunningham,"2018-05-27 01:00:06"
49,BAB,Boeing Bay Area Boulevard,"Bay Area Boulevard Building (BAB), is a six-story, 416,791 square foot structure built in 1985 and purchased by Boeing in 2005. More than 1,500 employees work at the BAB in the company’s NASA Systems",IDS,,rcunningham,"2018-05-27 01:00:06"
50,XPG,Xtreme Performance Gear,"XPG was founded by ADATA and is dedicated to providing high performance products for gamers, e-sport pros, and tech enthusiasts.",,,rcunningham,"2018-05-27 01:00:06"
62,SIMS,Rema Foods,Rema Foods is a leading global food importer and supplier focused on providing unique specialty items as well as broader commodity based products.,SIMS,,rcunningham,"2018-05-27 01:00:06"
65,AVYA,Avaya,"Avaya is an American multinational technology company headquartered in Santa Clara, California that specializes in business communications, specifically unified communications, contact center, and services.",,MTA,rcunningham,"2018-05-27 01:00:06"
66,KIDA,Kidde,"Kidde is a brand and division of United Technologies Corporation. It is a group of businesses that manufactures and distributes fire detection and suppression equipment, as well as smoke and CO alarm units. ",,"FCA, MNC",rcunningham,"2018-05-27 01:00:06"
67,LDL,Laedal,"Laerdal is a major manufacturer of medical equipment and medical training products based in Stavanger, Norway.",,MTX,rcunningham,"2018-05-27 01:00:06"
68,ERA,New Era,"The New Era Cap Company is an American headwear company headquartered in Buffalo, New York. It was founded in 1920. New Era has over 500 different licenses in its portfolio.",,"CMX, CPN",rcunningham,"2018-05-27 01:00:06"
69,PL,Philips Lighting,"Philips Lighting is a global market leader with recognized expertise in the development, manufacturing & application of innovative (LED) lighting solutions.",,MTP,rcunningham,"2018-05-27 01:00:06"
70,WHR,Whirlpool,"The Whirlpool Corporation is an American multinational manufacturer and marketer of home appliances, headquartered in Benton Charter Township, Michigan, United States, near Benton Harbor, Michigan.",,LOH,rcunningham,"2018-05-27 01:00:06"
